date,total_stablecoin_supply,total_stablecoin_supply_change_7d,total_stablecoin_supply_change_30d,total_stablecoin_supply_change_90d,total_stablecoin_supply_pct_change_30d,total_stablecoin_supply_pct_change_90d,total_stablecoin_supply_zscore_252d,total_stablecoin_supply_slope_30d,total_stablecoin_supply_slope_90d,usdt_supply,usdc_supply,usdt_supply_change_30d,usdt_supply_change_90d,usdc_supply_change_30d,usdc_supply_change_90d,usdt_dominance,usdc_dominance,usdt_history_available,usdc_history_available,stablecoin_liquidity_score
2020-09-29,19178539437.0,251710408.0,2968377973.0,7813572845.0,0.18311834706842745,0.687513929913363,2.15768253707361,2968377973.0,7813572845.0,,,,,,,,,False,False,
2020-09-30,19186166377.0,233335385.0,2936288397.0,7779002338.0,0.1806960274171856,0.6819400783055576,2.132795524588366,2936288397.0,7779002338.0,,,,,,,,,False,False,
2020-10-01,19203727536.0,168117546.0,3700182187.0,7790999125.0,0.23866684062937038,0.6826587687384862,2.1109306185283567,3700182187.0,7790999125.0,,,,,,,,,False,False,
2020-10-02,19351283909.0,243416876.0,3670059364.0,7886874407.0,0.23404163070735495,0.687944233466548,2.1198132455876872,3670059364.0,7886874407.0,,,,,,,,,False,False,
2020-10-03,19432574560.0,300805426.0,3473649862.0,7902669934.0,0.21766189939071046,0.6854063576709415,2.113007744554833,3473649862.0,7902669934.0,,,,,,,,,False,False,
2020-10-04,19478480243.0,260274723.0,3434575972.0,7932165805.0,0.21407357672958272,0.6869868171002256,2.0982226107109767,3434575972.0,7932165805.0,,,,,,,,,False,False,
2020-10-05,19501127105.0,234919162.0,3281307886.0,7936940170.0,0.20230237104962634,0.6863379340555429,2.078513523241318,3281307886.0,7936940170.0,,,,,,,,,False,False,
2020-10-06,19519093196.0,340553759.0,3234925360.0,7924406579.0,0.19865463145426654,0.683451553350422,2.0582886720389193,3234925360.0,7924406579.0,,,,,,,,,False,False,
2020-10-07,19554444878.0,368278501.0,3215491860.0,7918126783.0,0.19679913740235477,0.6804666835639646,2.0424861310994484,3215491860.0,7918126783.0,,,,,,,,,False,False,
2020-10-08,19573092077.0,369364541.0,2910723112.0,7892364434.0,0.17468843224598474,0.6756740397700924,2.023360023249066,2910723112.0,7892364434.0,,,,,,,,,False,False,
2020-10-09,19847065058.0,495781149.0,3194515744.0,8141182880.0,0.1918334354556952,0.6954779448660875,2.0617219029738787,3194515744.0,8141182880.0,,,,,,,,,False,False,
